Sl No.,Service Type,Department,Service Name,Standard,Semi Private,Private,Private Deluxe,Deluxe,Suite,Maharaja Suite
438,Investigations,Microbiology,"(ONCQUEST) ANTIENDOMYSIAL ANTIBODY,IGA,IFA","3,040","3,040","3,040","3,040","3,040","3,040","3,040"
439,Investigations,Microbiology,"(AHLL) GLIADIN DEAMIDATED ANTIBODIES PANEL, IgA & IgG","5,670","5,670","5,670","5,670","5,670","5,670","5,670"
440,Investigations,Microbiology,(LAL) BACTERIAL MENINGITIS PANEL,"3,380","3,380","3,380","3,380","3,380","3,380","3,380"
441,Investigations,Microbiology,(AHLL) C1 ESTERASE INHIBITOR,"4,020","4,020","4,020","4,020","4,020","4,020","4,020"
442,Investigations,Microbiology,(AHLL) CHLAMYDIA IGG,"3,610","3,610","3,610","3,610","3,610","3,610","3,610"
443,Investigations,Microbiology,(AHLL) ANTI CYSTICERCOSIS (IgG) ANTIBODY,"2,000","2,000","2,000","2,000","2,000","2,000","2,000"
444,Investigations,Microbiology,(AHLL) FTA-ABS,"4,040","4,040","4,040","4,040","4,040","4,040","4,040"
445,Investigations,Microbiology,(AHLL) HEPATITIS E VIRUS IGG (HEV IGG),"1,490","1,490","1,490","1,490","1,490","1,490","1,490"
446,Investigations,Microbiology,(AHLL) LEISHMANIA ANTIBODIES/ KALA AZAR ANTIBODIES (IGG),"2,080","2,080","2,080","2,080","2,080","2,080","2,080"
447,Investigations,Microbiology,(AHLL) LEPTOSPIRA IgG ANTIBODIES,"1,240","1,240","1,240","1,240","1,240","1,240","1,240"
448,Investigations,Microbiology,(AHLL) MUMPS IGG,"1,730","1,730","1,730","1,730","1,730","1,730","1,730"
449,Investigations,Microbiology,(AHLL) MUMPS IGM,"1,730","1,730","1,730","1,730","1,730","1,730","1,730"
450,Investigations,Microbiology,(AHLL) WEIL FELIX TEST,"1,510","1,510","1,510","1,510","1,510","1,510","1,510"
451,Investigations,Microbiology,(AHLL) MEASLES IGG ANTIBODIES,"1,720","1,720","1,720","1,720","1,720","1,720","1,720"
452,Investigations,Microbiology,(AHLL) MEASLES IGM ANTIBODIES,"1,720","1,720","1,720","1,720","1,720","1,720","1,720"
453,Investigations,Microbiology,(AHLL) AMOEBIAIS ANTIBODIES ELISA,"2,230","2,230","2,230","2,230","2,230","2,230","2,230"
454,Investigations,Microbiology,(AHLL) ANTI SACCHAROMYCES CEREVISIAE ANTIBODY (ASCA) IGA,"3,810","3,810","3,810","3,810","3,810","3,810","3,810"
455,Investigations,Microbiology,(AHLL) ANTI SACCHAROMYCES CEREVISIAE ANTIBODY (ASCA) IGG,"3,810","3,810","3,810","3,810","3,810","3,810","3,810"
456,Investigations,Microbiology,(AHLL) MENINGITIS/ENCEPHALITIS (ME) PANEL (FILMARRAY),"15,550","15,550","15,550","15,550","15,550","15,550","15,550"
457,Investigations,Microbiology,"(AHLL) LYME DISEASE (BORRELIA BURGDORFERI) ANTIBODIES, IGG & IGM","6,840","6,840","6,840","6,840","6,840","6,840","6,840"
458,Investigations,Microbiology,(SRL) BORRELIA BURGDORFRI IgG,"1,900","1,900","1,900","1,900","1,900","1,900","1,900"
459,Investigations,Microbiology,"(AHLL) CELIAC PROFILE (TTG IGA ABS, GLIADIN IGG & IGA ABS)","10,130","10,130","10,130","10,130","10,130","10,130","10,130"
460,Investigations,Microbiology,(SRL) CHLAMYDIA TRACHOMATIS IgG ANTIBODY,"1,170","1,170","1,170","1,170","1,170","1,170","1,170"
461,Investigations,Microbiology,(SRL) CHLAMYDIA TRACHOMATIS IgM ANTIBODY,"1,170","1,170","1,170","1,170","1,170","1,170","1,170"
462,Investigations,Microbiology,(AHLL) EBV - VIRAL CAPSID ANTIGEN (VCA) IGG,"2,400","2,400","2,400","2,400","2,400","2,400","2,400"
463,Investigations,Microbiology,"(AHLL) ECHINOCOCCUS ANTIBODY, IGG (HYDATID SEROLOGY)","2,890","2,890","2,890","2,890","2,890","2,890","2,890"
464,Investigations,Microbiology,(AHLL) HCV QUANTITATIVE (VIRAL LOAD) - REAL TIME PCR,"27,900","27,900","27,900","27,900","27,900","27,900","27,900"
465,Investigations,Microbiology,(AHLL) HCV GENOTYPING,"19,650","19,650","19,650","19,650","19,650","19,650","19,650"
466,Investigations,Microbiology,(AHLL) ANTI HELICOBACTER PYLORI IGG,"3,630","3,630","3,630","3,630","3,630","3,630","3,630"
467,Investigations,Microbiology,(AHLL) ANTI HELICOBACTER PYLORI IGM,"3,630","3,630","3,630","3,630","3,630","3,630","3,630"
468,Investigations,Microbiology,(AHLL) HEPATITIS DELTA VIRUS IgG ANTIBODIES,"2,970","2,970","2,970","2,970","2,970","2,970","2,970"
469,Investigations,Microbiology,(AHLL) HIV MONITOR (CD4+CD8+VIRAL LOAD),"15,690","15,690","15,690","15,690","15,690","15,690","15,690"
470,Investigations,Microbiology,(AHLL) HTLV - 1 AND 2 ELISA,"5,390","5,390","5,390","5,390","5,390","5,390","5,390"
471,Investigations,Microbiology,(AHLL) INTRINSIC FACTOR IgG,"18,890","18,890","18,890","18,890","18,890","18,890","18,890"
472,Investigations,Microbiology,(AHLL) JC/BK DNA PCR (QUALITATIVE),"6,420","6,420","6,420","6,420","6,420","6,420","6,420"
473,Investigations,Microbiology,(AHLL) MYCOBACTERIA DETECTION,"3,220","3,220","3,220","3,220","3,220","3,220","3,220"
474,Investigations,Microbiology,(AHLL) Mycoplasma pneumoniae - IgM,"2,760","2,760","2,760","2,760","2,760","2,760","2,760"
475,Investigations,Microbiology,(AHLL) TOXOPLASMA DNA PCR - QUALITATIVE,"3,990","3,990","3,990","3,990","3,990","3,990","3,990"
476,Investigations,Microbiology,(SRL) RETICULIN ANTIBODIES,"16,040","16,040","16,040","16,040","16,040","16,040","16,040"
477,Investigations,Microbiology,(AHLL) TPHA-TREPONEMA PALLIDIUM HEMAGGLUTINATION ASSAY,700,700,700,700,700,700,700
478,Investigations,Microbiology,"(AHLL) CHLAMYDIA TRACHOMATIS,PCR","4,570","4,570","4,570","4,570","4,570","4,570","4,570"
479,Investigations,Microbiology,(AHLL) ENTEROVIRUS RT PCR QUANTITATIVE(OTHERS),"5,080","5,080","5,080","5,080","5,080","5,080","5,080"
480,Investigations,Microbiology,(AHLL) HEPATITIS B VIRAL DRUG RESISTANCE AND GENOTYPING,"17,110","17,110","17,110","17,110","17,110","17,110","17,110"
481,Investigations,Microbiology,(AHLL) HIV QUALITATIVE (WINDOW PERIOD DETECTION),"6,180","6,180","6,180","6,180","6,180","6,180","6,180"
482,Investigations,Microbiology,"(AHLL) CHROMOSOME ANALYSIS, PRODUCTS OF CONCEPTION","14,520","14,520","14,520","14,520","14,520","14,520","14,520"
483,Investigations,Microbiology,(AHLL) PARVOVIRUS B19 DNA PCR- QUALITATIVE,"5,700","5,700","5,700","5,700","5,700","5,700","5,700"
484,Investigations,Microbiology,(AHLL) FISH-PRADER-VILLI,"7,990","7,990","7,990","7,990","7,990","7,990","7,990"
485,Investigations,Microbiology,(RELIANCE) YMDD PCR,"5,520","5,520","5,520","5,520","5,520","5,520","5,520"
486,Investigations,Microbiology,(SRL) AMNIOTIC FLUID-LECITHIN SPINGOMYL,"2,300","2,300","2,300","2,300","2,300","2,300","2,300"
487,Investigations,Microbiology,(AHLL) ANTI HEPATITIS D VIRUS (HDV) ANTIBODY - IGM,"5,970","5,970","5,970","5,970","5,970","5,970","5,970"
488,Investigations,Microbiology,(SRL) SERODIAGNOSIS OF HYDATID DISEASE,"3,330","3,330","3,330","3,330","3,330","3,330","3,330"
489,Investigations,Microbiology,(SRL) VZV PCR,"3,520","3,520","3,520","3,520","3,520","3,520","3,520"
490,Investigations,Microbiology,(AHLL) MYCOBACTERIUM TUBERCULOSIS (TB) DNA PCR - QUALITATIVE,"13,160","13,160","13,160","13,160","13,160","13,160","13,160"
491,Investigations,Microbiology,"(AHLL) BK VIRUS, PCR, QUANTITATIVE","19,460","19,460","19,460","19,460","19,460","19,460","19,460"
492,Investigations,Microbiology,(AHLL) ISLET CELL ANTIBODY,"3,850","3,850","3,850","3,850","3,850","3,850","3,850"
493,Investigations,Microbiology,(RELIGARE) JC/BK VIRUS QUANTITATIVE PCR,"9,740","9,740","9,740","9,740","9,740","9,740","9,740"
494,Investigations,Microbiology,(AHLL) SEPSISCREEN,"19,540","19,540","19,540","19,540","19,540","19,540","19,540"
495,Investigations,Microbiology,"(AHLL) COXSACKIE ANTIBODY - IGM, SERUM","5,720","5,720","5,720","5,720","5,720","5,720","5,720"
496,Investigations,Microbiology,(AHLL) Trypanosoma cruzi IgG,"3,220","3,220","3,220","3,220","3,220","3,220","3,220"
497,Investigations,Microbiology,(LAL PATH LAB)TISSUE TRANSGLUTAMINASE TTG-DGP SCREEN,"2,720","2,720","2,720","2,720","2,720","2,720","2,720"
498,Investigations,Microbiology,(AHLL) CHLAMYDIA IGM,"3,610","3,610","3,610","3,610","3,610","3,610","3,610"
499,Investigations,Microbiology,(AHLL) CHLAMYDIA IGA,"3,610","3,610","3,610","3,610","3,610","3,610","3,610"
500,Investigations,Transplantation immunology,"(AHLL) IMMUNOFIXATION ELECTROPHORESIS, CSF","6,740","6,740","6,740","6,740","6,740","6,740","6,740"
501,Investigations,Transplantation immunology,(AHLL) CH 50 COMPLEMENT TOTAL SERUM,"6,440","6,440","6,440","6,440","6,440","6,440","6,440"
502,Investigations,Transplantation immunology,(AHLL) ANTI VGKC ANTIBODY,"18,590","18,590","18,590","18,590","18,590","18,590","18,590"
503,Investigations,Transplantation immunology,(AHLL) VOLTAGE-GATED POTASSIUM CHANNEL (VGKC) ANTIBODY,"18,590","18,590","18,590","18,590","18,590","18,590","18,590"
504,Investigations,Transplantation immunology,(AHLL) DSA,"11,800","11,800","11,800","11,800","11,800","11,800","11,800"
505,Investigations,Transplantation immunology,(AHLL) NMDA RECEPTOR ANTIBODY/ANTIGLUTAMATE,"12,210","12,210","12,210","12,210","12,210","12,210","12,210"
506,Investigations,Transplantation immunology,(AHLL) SINGLE ANTIGEN BEAD CLASS I (A B LOCI),"24,670","24,670","24,670","24,670","24,670","24,670","24,670"
507,Investigations,Transplantation immunology,"(AHLL) SINGLE ANTIGEN BEAD CLASS II (DR, DQ & DP LOCI)","21,450","21,450","21,450","21,450","21,450","21,450","21,450"
508,Investigations,Transplantation immunology,(AHLL) AUTOIMMUNE ENCEPHALITIS PANEL,"28,600","28,600","28,600","28,600","28,600","28,600","28,600"
509,Investigations,Transplantation immunology,"(AHLL) IMMUNE DEFICIENCY PANEL - II, (CD3, CD4, CD8)","8,870","8,870","8,870","8,870","8,870","8,870","8,870"
510,Investigations,Transplantation immunology,(AHLL) CLASS I ANTIBODY DETECTION (PRA%),"13,410","13,410","13,410","13,410","13,410","13,410","13,410"
511,Investigations,Transplantation immunology,(AHLL) CLASS II ANTIBODY DETECTION (PRA%),"13,410","13,410","13,410","13,410","13,410","13,410","13,410"
512,Investigations,Transplantation immunology,(AHLL) FECAL CALPROTECTIN,"4,200","4,200","4,200","4,200","4,200","4,200","4,200"
513,Investigations,Transplantation immunology,(AHLL) PLA2 RECEPTOR ANTIBODY,"12,320","12,320","12,320","12,320","12,320","12,320","12,320"
514,Investigations,Transplantation immunology,(AHLL) Flow-crossmatch,"8,580","8,580","8,580","8,580","8,580","8,580","8,580"
515,Investigations,Transplantation immunology,(AHLL) Anti-Tryptase,"3,300","3,300","3,300","3,300","3,300","3,300","3,300"
516,Investigations,Transplantation immunology,(AHLL) ANTI-NMO (NEUROMYELITIS OPTICA ) ANTIBODY / AQUAPORIN 4,"6,710","6,710","6,710","6,710","6,710","6,710","6,710"
517,Investigations,Transplantation immunology,(AHLL) ALLERGY COMPREHENSIVE PANEL,"18,590","18,590","18,590","18,590","18,590","18,590","18,590"
518,Investigations,Transplantation immunology,(AHLL) ALLERGY-MITES,"2,570","2,570","2,570","2,570","2,570","2,570","2,570"
519,Investigations,Transplantation immunology,(AHLL) ALLERGY-COCKROACH,"1,570","1,570","1,570","1,570","1,570","1,570","1,570"
520,Investigations,Transplantation immunology,"(AHLL) ALLERGY, CAT DANDER","1,570","1,570","1,570","1,570","1,570","1,570","1,570"
521,Investigations,Transplantation immunology,"(AHLL) ALLERGY, DOG DANDER","1,570","1,570","1,570","1,570","1,570","1,570","1,570"
522,Investigations,Transplantation immunology,"(AHLL) ALLERGY, BERMUDA GRASS","1,570","1,570","1,570","1,570","1,570","1,570","1,570"
523,Investigations,Transplantation immunology,"(AHLL) ALLERGY, JOHNSON GRASS","1,570","1,570","1,570","1,570","1,570","1,570","1,570"
524,Investigations,Transplantation immunology,"(AHLL) ALLERGY, COMMON RAGWEED","1,570","1,570","1,570","1,570","1,570","1,570","1,570"
525,Investigations,Transplantation immunology,"(AHLL) ALLERGY, PEANUT","1,570","1,570","1,570","1,570","1,570","1,570","1,570"
526,Investigations,Transplantation immunology,"(AHLL) ALLERGY, MILK","1,570","1,570","1,570","1,570","1,570","1,570","1,570"
527,Investigations,Transplantation immunology,(AHLL) AVIAN ANTIGEN HP PANEL (PIGEON+IGG AF),"3,150","3,150","3,150","3,150","3,150","3,150","3,150"
528,Investigations,Transplantation immunology,"(AHLL) AVIAN ANTIGEN PLUS(ASPERGILLUS.FUMIGATUS- SPECIFIC IgG & Pigeon serum proteins, feathers and droppings)","4,290","4,290","4,290","4,290","4,290","4,290","4,290"
529,Investigations,Transplantation immunology,"(AHLL) ALLERGY, ASPERGILLUS FUMIGATUS","2,220","2,220","2,220","2,220","2,220","2,220","2,220"
530,Investigations,Transplantation immunology,(AHLL) ASPERGILLUS IgG ANTIBODY,"2,570","2,570","2,570","2,570","2,570","2,570","2,570"
531,Investigations,Transplantation immunology,(AHLL) HYPERSENSITIVITY PNEUMONITIS PANEL,"10,730","10,730","10,730","10,730","10,730","10,730","10,730"
532,Investigations,Transplantation immunology,(AHLL) COMPREHENSIVE MYELOMA PROTEIN PANEL,"10,730","10,730","10,730","10,730","10,730","10,730","10,730"
533,Investigations,Transplantation immunology,(AHLL) ANTI -MOG (ANTI MYELIN OLIGODENDROCYTE GLYCOPROTEIN),"14,300","14,300","14,300","14,300","14,300","14,300","14,300"
534,Investigations,Transplantation immunology,(AHLL) ORANGE ALLERGY TEST,"2,150","2,150","2,150","2,150","2,150","2,150","2,150"
535,Investigations,Transplantation immunology,"(AHLL) ALLERGY, SPINACH","2,150","2,150","2,150","2,150","2,150","2,150","2,150"
536,Investigations,Transplantation immunology,"(AHLL) ALLERGY, TOMATO","2,150","2,150","2,150","2,150","2,150","2,150","2,150"
537,Investigations,Transplantation immunology,"(AHLL) ALLERGY, MANGO","2,150","2,150","2,150","2,150","2,150","2,150","2,150"
538,Investigations,Transplantation immunology,(AHLL) NEURONAL (PARANEOPLASTIC) AUTOANTIBODIES PROFILE,"11,410","11,410","11,410","11,410","11,410","11,410","11,410"
539,Investigations,Transplantation immunology,(AHLL) IMMUNOFIXATION ELECTROPHORESIS URINE,"7,700","7,700","7,700","7,700","7,700","7,700","7,700"
540,Investigations,Transplantation immunology,(AHLL) ALLERGY PHADIATOP - PEDIATRIC,"1,510","1,510","1,510","1,510","1,510","1,510","1,510"
541,Investigations,Histopathology,(AHLL) ALK GENE REARRANGEMENT BY FISH,"15,590","15,590","15,590","15,590","15,590","15,590","15,590"
542,Investigations,Histopathology,(DABUR) CKIT MUTATION ANALYSIS,"16,500","16,500","16,500","16,500","16,500","16,500","16,500"
543,Investigations,Histopathology,(AHLL) FISH-EGFR GENE AMPLIFICATION,"16,500","16,500","16,500","16,500","16,500","16,500","16,500"
544,Investigations,Histopathology,(AHLL) EGFR MUTATION STUDY (10 COMMON MUTATIONS),"14,040","14,040","14,040","14,040","14,040","14,040","14,040"
545,Investigations,Histopathology,(AHLL) KRAS (COLORECTAL CANCER MARKER) MUTATIONS,"10,740","10,740","10,740","10,740","10,740","10,740","10,740"
546,Investigations,Histopathology,"(AHLL) IMMUNOHISTOCHEMISTRY, MICROSATELLITE INSTABILITY PANEL FOR COLORECTAL CANCER","8,560","8,560","8,560","8,560","8,560","8,560","8,560"
547,Investigations,Histopathology,(AHLL) MYCN (N-MYC) GENE AMPLIFICATION BY FISH(NEUROBLASTOMA/MEDILLOBLAS TOMA),"13,200","13,200","13,200","13,200","13,200","13,200","13,200"
548,Investigations,Histopathology,(AHLL) HISTOPATHOLOGY & IHC; COMPLETE DIAGNOSIS WITH SPECIAL STAINS & IHC (AS AND WHEN NEEDED),"6,740","6,740","6,740","6,740","6,740","6,740","6,740"
549,Investigations,Histopathology,(AHLL) COPPER STAIN,"17,020","17,020","17,020","17,020","17,020","17,020","17,020"
550,Investigations,Histopathology,(AHLL) ER + PR IMMUNOHISTOCHEMISTRY IHC MARKERS,"2,510","2,510","2,510","2,510","2,510","2,510","2,510"
551,Investigations,Histopathology,(AHLL) ELECTRON MICROSCOPY - TISSUE,"18,390","18,390","18,390","18,390","18,390","18,390","18,390"
552,Investigations,Histopathology,"(AHLL) FISH, HER-2 NEU ONCOGENE AMPLIFICATION, BREAST CANCER","18,150","18,150","18,150","18,150","18,150","18,150","18,150"
553,Investigations,Histopathology,(AHLL) ORCEINE STAIN FOR COPPER FOR WILSON DISEASE,500,500,500,500,500,500,500
554,Investigations,Histopathology,C MYC GENE AMPLIFICATION(DUBBER- ONCOEST),"17,880","17,880","17,880","17,880","17,880","28,600","35,750"
555,Investigations,Histopathology,(AHLL) OSTEONECTIN,"4,840","4,840","4,840","4,840","4,840","4,840","4,840"
556,Investigations,Histopathology,MSI-IHC(ONCQUEST),"5,720","5,720","5,720","5,720","5,720","5,720","5,720"
557,Investigations,Histopathology,(AHLL) FISH-ROS1,"14,190","14,190","14,190","14,190","14,190","14,190","14,190"
558,Investigations,Histopathology,(RELIANCE) PDGFRA,"6,930","6,930","6,930","6,930","6,930","6,930","6,930"
559,Investigations,Histopathology,(AHLL) IHC-PDL1,"8,580","8,580","8,580","8,580","8,580","8,580","8,580"
560,Investigations,Histopathology,(ONCQUEST) ALKD5F3,"12,580","12,580","12,580","12,580","12,580","12,580","12,580"
561,Investigations,Histopathology,(ONCQUEST) MET GENE AMPLIFICATION BY FISH,"14,160","14,160","14,160","14,160","14,160","14,160","14,160"
562,Investigations,Histopathology,(AHLL) FISH1P/19Q DELETION BY FISH,"15,590","15,590","15,590","15,590","15,590","15,590","15,590"
563,Investigations,Histopathology,(AHLL) IDH1 R132H (H09),"2,600","2,600","2,600","2,600","2,600","2,600","2,600"
564,Investigations,Histopathology,(AHLL) O6-methylguanine methyltransferase (MGMT) promoter,"17,880","17,880","17,880","17,880","17,880","17,880","17,880"
565,Investigations,Histopathology,(ONCQUEST) NGS CANCER HOTSPOT 50 GENE PANEL,"47,960","47,960","47,960","47,960","47,960","47,960","47,960"
566,Investigations,Histopathology,(AHLL) ONCOMINE MYELOID COMPREHENSIVE PANEL (79 GENE TARGETS),"49,500","49,500","49,500","49,500","49,500","49,500","49,500"
567,Investigations,Histopathology,(AHLL) MICROSATELLITE STABILITY INDEX(MSIANALYSIS),"14,300","14,300","14,300","14,300","14,300","14,300","14,300"
568,Investigations,Histopathology,(ONCQUEST) HRR MUTATION TESTING (BLOCK),"40,040","40,040","40,040","40,040","40,040","40,040","40,040"
569,Investigations,Pet CT,(QUADRA LAB) PET CT PSMA,"27,500","27,500","27,500","27,500","27,500","27,500","27,500"
570,Investigations,Ear Nose and Throat,(VDC) VESTIBULAR FUNCTION TEST,"23,100","23,100","23,100","23,100","23,100","23,100","23,100"
571,Investigations,Gastroenterology,(ASIAN INSTITUTE OF GASTROENTEROLOGY) PANCREATIC GENETIC STUDY,"15,730","15,730","15,730","15,730","15,730","15,730","15,730"
572,Investigations,FETAL MEDICINE,(LILAC) B-THALASSEMIA SEQUENCING (BOTH PARENTS PLUS FETUS),"17,160","17,160","17,160","17,160","17,160","17,160","17,160"
573,Profile,BioChemistry,SPINAL MUSCULAR ATROPHY MICRODELETION (RANBAXY),"3,140","3,140","3,140","3,140","3,140","3,140","3,140"
574,Profile,BioChemistry,(BABY SHIELD) CDC PROFILE - 1,"52,470","52,470","52,470","52,470","52,470","52,470","52,470"
575,Profile,Transplantation immunology,(AHLL) ALLERGY RHINITIS/ASTHMA/INHALANT MAXI PANEL,"16,730","16,730","16,730","16,730","16,730","16,730","16,730"
576,Profile,Wards Others,APOLLO BMT DONOR WORKUP-DARTI,"57,640","57,640","57,640","57,640","57,640","57,640","57,640"
